,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
201,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,High school graduate,White,,Never been married,Nothing in particular,Seldom,,,Conservative,2 people,Full-time employment
202,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Protestant,Seldom,Republican,,Conservative,2,Retired
205,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Never,,,Moderate,3 people,Self-employed
208,"Pacific (HI, AK)",Female,30-49,High school graduate,Asian,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Very liberal,4 people,Unemployed
210,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,Independent,"\$30,000-\$50,000",Liberal,2 people,Unemployed
212,"Pacific (HI, AK)",Male,30-49,"Some college, no degree",Asian,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Moderate,3 people,Full-time employment
215,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Very liberal,2 people,Part-time employment
216,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Moderate,4 people,Full-time employment
218,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,Republican,,Very conservative,4 people,Part-time employment
221,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,Republican,,Conservative,2 people,Full-time employment
223,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Atheist,Never,Independent,,Moderate,1 person,Unemployed
225,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Conservative,2 people,Self-employed
228,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,High school graduate,White,,Divorced,Roman Catholic,Never,,,Conservative,1,Full-time employment
230,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Republican,"\$100,000 or more",Conservative,More than 4,Full-time employment
231,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,65+.,High school graduate.,White.,"Yes, a citizen of the United States.",Divorced.,Agnostic.,Never attends religious services (aside from weddings/funerals).,,,Very liberal.,2 people.,Retired.
232,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Associate's degree,White,"Yes, a citizen of the United States",Married,Other,Seldom,,,Very conservative,3 people,Retired
233,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Other,Once a week,Republican,,Conservative,4 people,Home-maker
234,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Democrat,"Less than $30,000",Very liberal,1 person,Part-time employment
235,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,Hispanic,"Yes, a citizen of the United States",,Roman Catholic,Once a week,Republican,,Conservative,More than 4,Full-time employment
236,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,Other,,Never been married,Other,Never,Independent,,Very liberal,1,Self-employed
237,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",Married,Nothing in particular,Seldom,,,Moderate,3 people,Full-time employment
238,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,Other,,Married,Roman Catholic,Once or twice a month,,,Moderate,2,Self-employed
239,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,College graduate/some postgrad,White,"Yes, a citizen of the United States",Widowed,Atheist,Never,Republican,"$50,000-$75,000",Conservative,2,Retired
242,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,High school graduate,White,,Married,Roman Catholic,A few times a year,,,Moderate,3 people,Retired
244,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,Hispanic,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Independent,"\$30,000-\$50,000",Moderate,3,Unemployed
245,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,Associate's degree,Hispanic,"Yes, a citizen of the United States",,Agnostic,Never,,,Liberal,2 people,Part-time employment
246,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,A few times a year,Democrat,,Liberal,More than 4,Student
247,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,Postgraduate,White,,Married,Agnostic,Never,,,Liberal,2,Part-time employment
248,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,Other,,Married,Protestant,Seldom,Republican,,Very conservative,2,Full-time employment
249,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Postgraduate,White,,Divorced,Roman Catholic,Never,Republican,,Conservative,1,Self-employed
250,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Very liberal,4 people,Full-time employment
255,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,Democrat,,Very liberal,More than 4,Full-time employment
256,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Postgraduate,White,,Divorced,Nothing in particular,Never,,,Conservative,1 person,Unemployed
260,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,,,Liberal,1 person,Unemployed
263,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Married,Protestant,Never,,,Liberal,2 people,Retired
264,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Democrat,,Liberal,1 person,Full-time employment
265,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,"Some college, no degree",White,,Married,Roman Catholic,Never,Republican,,Conservative,2 people,Unemployed
266,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,White,,Never been married,Nothing in particular,Once or twice a month,,,Liberal,4,Full-time employment
268,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Married,Mormon,A few times a year,,,Conservative,3 people,Full-time employment
269,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,Divorced,Jewish,Never,,,Liberal,1,Part-time employment
270,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,More than once a week,Democrat,"\$100,000 or more",Liberal,3 people,Part-time employment
275,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Widowed,Protestant,A few times a year,,,Conservative,1 person,Unemployed
278,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Postgraduate,Asian,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,,,Liberal,3 people,Full-time employment
279,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,Republican,,Conservative,3 people,Full-time employment
280,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Liberal,3 people,Full-time employment
281,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,A few times a year,Republican,,Conservative,3 people,Part-time employment
284,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,Less than high school,Hispanic,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Liberal,More than 4,Unemployed
286,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,,,Very conservative,More than 4,Self-employed
287,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Protestant,Once a week,Republican,,Very conservative,4,Full-time employment
288,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,,Atheist,Never,Democrat,,Very liberal,2 people,Unemployed
291,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,White,,Married,Atheist,Never,Democrat,,Liberal,2,Self-employed
292,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Independent,,Moderate,4 people,Unemployed
294,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Male.,30-49 years old.,"Some college, no degree.",Asian.,"Yes, a citizen of the United States.",Never been married.,Agnostic.,Never attends religious services (aside from weddings/funerals).,,,Liberal.,2 people.,Unemployed.
295,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Divorced,Protestant,Never,,,Moderate,1 person,Self-employed
297,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,50-64 years old.,College graduate/some postgraduate studies.,Other.,"Yes, a citizen of the United States.",Married.,Other.,Seldom attends religious services (aside from weddings and funerals).,Independent.,"$50,000-$75,000 per year.",Conservative.,3 people.,Self-employed.
298,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,Postgraduate,White,,Divorced,Nothing in particular,Never,Democrat,,Moderate,1 person,Full-time employment
299,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,More than once a week,,,Very conservative,4 people,Part-time employment
300,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",,Roman Catholic,Once a week,,,Very conservative,3 people,Full-time employment
301,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,Democrat,,Moderate,2 people,Retired
302,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Married,Protestant,More than once a week,Republican,,Conservative,2,Full-time employment
303,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Democrat,,Liberal,2 people,Part-time employment
309,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,,,Conservative,2 people,Part-time employment
311,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,,Divorced,Other,A few times a year,,,Liberal,2 people,Student
313,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,White,,Married,Protestant,Once a week,,,Very conservative,3,Full-time employment
314,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Asian,,Divorced,Nothing in particular,Seldom,Democrat,,Very liberal,2 people,Retired
316,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Seldom,,,Moderate,1 person,Full-time employment
320,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Postgraduate,White,"Yes, a citizen of the United States",Divorced,Protestant,Seldom,Republican,"\$30,000-\$50,000",Conservative,1 person,Retired
321,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,Postgraduate,White,,Married,Atheist,Never,Democrat,,Very liberal,3,Student
323,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,High school graduate,Black,,Never been married,Other,Once a week,,,Liberal,4,Student
324,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Associate's degree,Black,"Yes, a citizen of the United States",Married,Other,Once a week,,,Moderate,4 people,Part-time employment
325,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Hispanic,,,Nothing in particular,Seldom,,,Moderate,2 people,Student
326,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Agnostic,Seldom,,,Liberal,2 people,Retired
329,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",Black,,Never been married,Protestant,A few times a year,,,Liberal,2,Full-time employment
330,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,,Never been married,Agnostic,Never,Democrat,,Liberal,3,Self-employed
333,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,White,,Married,Protestant,Once a week,,,Very conservative,More than 4,Part-time employment
334,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,Black,"Yes, a citizen of the United States",Married,Other,More than once a week,,,Moderate,More than 4,Part-time employment
336,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Agnostic,Never,,,Liberal,2 people,Unemployed
338,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Agnostic,Never,,,Very liberal,2 people,Part-time employment
339,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,White,,Never been married,Agnostic,Never,Democrat,,Liberal,4,Full-time employment
341,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Protestant,Once a week,,,Moderate,2 people,Part-time employment
344,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",White,,Never been married,Nothing in particular,A few times a year,,,Liberal,More than 4,Student
345,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,Hispanic,,Married,Agnostic,Never,Democrat,,Very liberal,2 people,Unemployed
346,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Other,A few times a year,Democrat,"\$30,000-\$50,000",Liberal,3 people,Full-time employment
347,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Married,Nothing in particular,Seldom,,,Conservative,2 people,Self-employed
348,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Never been married,Protestant,Once or twice a month,Republican,,Conservative,3 people,Unemployed
